transaction_id,customer_id,merchant_id,amount,payment_method,timestamp,status,failure_reason,attempt_number,previous_successes,previous_failures,recovery_eligible
TXN000026,CUST0420,MERCHANT008,19428.7,CARD,2026-08-24 23:01:57.848634,SUCCESS,,1,1,1,False
TXN000027,CUST1284,MERCHANT007,15486.86,UPI,2026-08-20 23:17:54.848634,SUCCESS,,1,17,3,False
TXN000028,CUST1700,MERCHANT003,38522.41,UPI,2026-08-20 09:03:50.848634,SUCCESS,,1,10,3,False
TXN000029,CUST0187,MERCHANT007,15129.68,UPI,2026-08-24 12:13:56.848634,SUCCESS,,1,15,1,False
TXN000030,CUST0275,MERCHANT003,3273.33,NETBANKING,2026-08-23 05:33:17.848634,SUCCESS,,1,10,3,False
TXN000031,CUST1893,MERCHANT003,44469.58,WALLET,2026-08-19 09:52:40.848634,SUCCESS,,1,19,1,False
TXN000032,CUST1081,MERCHANT004,23336.97,CARD,2026-08-23 00:14:45.848634,SUCCESS,,1,15,1,False
TXN000033,CUST0316,MERCHANT001,38504.02,UPI,2026-08-22 12:47:25.848634,SUCCESS,,1,17,0,False
TXN000034,CUST0463,MERCHANT007,10899.66,CARD,2026-08-23 07:22:47.848634,SUCCESS,,1,16,4,False
TXN000035,CUST1888,MERCHANT009,29628.33,WALLET,2026-08-21 19:06:01.848634,FAILED,Insufficient Funds,2,2,4,True
TXN000036,CUST0490,MERCHANT002,32278.91,WALLET,2026-08-22 05:27:21.848634,SUCCESS,,1,17,0,False
TXN000037,CUST0638,MERCHANT008,4063.59,NETBANKING,2026-08-21 22:27:46.848634,SUCCESS,,1,1,5,False
TXN000038,CUST1970,MERCHANT009,3109.73,WALLET,2026-08-22 10:12:09.848634,SUCCESS,,1,12,3,False
TXN000039,CUST0406,MERCHANT009,42019.6,UPI,2026-08-20 04:29:40.848634,SUCCESS,,1,17,2,False
TXN000040,CUST0337,MERCHANT005,37731.75,CARD,2026-08-20 09:34:21.848634,SUCCESS,,1,17,1,False
TXN000041,CUST0434,MERCHANT001,260.25,WALLET,2026-08-24 05:58:12.848634,SUCCESS,,1,6,4,False
TXN000042,CUST0794,MERCHANT009,38581.53,NETBANKING,2026-08-23 07:48:14.848634,SUCCESS,,1,1,4,False
TXN000043,CUST0773,MERCHANT008,41041.65,NETBANKING,2026-08-21 02:15:47.848634,SUCCESS,,1,10,4,False
TXN000044,CUST1899,MERCHANT008,7773.68,CARD,2026-08-20 07:15:14.848634,SUCCESS,,1,15,2,False
TXN000045,CUST0300,MERCHANT009,30239.63,CARD,2026-08-21 18:35:12.848634,SUCCESS,,1,5,5,False
TXN000046,CUST0275,MERCHANT005,49285.46,CARD,2026-08-25 01:00:20.848634,SUCCESS,,1,4,5,False
TXN000047,CUST1598,MERCHANT008,34862.65,NETBANKING,2026-08-22 09:48:15.848634,SUCCESS,,1,13,5,False
TXN000048,CUST1276,MERCHANT005,40260.77,WALLET,2026-08-23 00:38:49.848634,SUCCESS,,1,0,0,False
TXN000049,CUST1139,MERCHANT001,46800.67,UPI,2026-08-22 01:29:13.848634,SUCCESS,,1,20,4,False
TXN000050,CUST1789,MERCHANT007,18862.83,NETBANKING,2026-08-18 08:39:00.848634,SUCCESS,,1,13,0,False
TXN000051,CUST0328,MERCHANT004,34303.66,UPI,2026-08-22 20:04:42.848634,SUCCESS,,1,17,0,False
TXN000052,CUST0478,MERCHANT010,27707.81,WALLET,2026-08-20 13:09:17.848634,SUCCESS,,1,2,4,False
TXN000053,CUST0742,MERCHANT005,39318.27,WALLET,2026-08-23 06:13:05.848634,SUCCESS,,1,12,2,False
TXN000054,CUST1822,MERCHANT001,42485.25,UPI,2026-08-20 18:58:04.848634,SUCCESS,,1,0,4,False
TXN000055,CUST1773,MERCHANT003,35622.02,WALLET,2026-08-20 00:01:53.848634,SUCCESS,,1,19,3,False
TXN000056,CUST0068,MERCHANT008,22415.23,CARD,2026-08-22 00:22:05.848634,SUCCESS,,1,1,4,False
TXN000057,CUST0124,MERCHANT003,49608.32,NETBANKING,2026-08-19 09:10:09.848634,SUCCESS,,1,4,1,False
TXN000058,CUST1432,MERCHANT004,25723.44,UPI,2026-08-22 13:56:58.848634,SUCCESS,,1,18,0,False
TXN000059,CUST1140,MERCHANT006,48724.77,NETBANKING,2026-08-25 01:32:15.848634,SUCCESS,,1,16,1,False
TXN000060,CUST1923,MERCHANT005,44900.98,NETBANKING,2026-08-22 09:00:20.848634,SUCCESS,,1,19,0,False
TXN000061,CUST0048,MERCHANT010,26302.32,CARD,2026-08-19 01:57:31.848634,FAILED,Timeout,3,6,1,False
TXN000062,CUST1448,MERCHANT005,21989.37,NETBANKING,2026-08-19 03:08:45.848634,SUCCESS,,1,15,3,False
TXN000063,CUST0198,MERCHANT009,43559.93,CARD,2026-08-22 08:27:23.848634,SUCCESS,,1,9,5,False
TXN000064,CUST1036,MERCHANT007,33003.02,CARD,2026-08-21 16:35:02.848634,SUCCESS,,1,8,2,False
TXN000065,CUST1163,MERCHANT006,37902.22,WALLET,2026-08-20 04:18:51.848634,SUCCESS,,1,6,5,False
TXN000066,CUST1708,MERCHANT004,28593.2,WALLET,2026-08-21 08:25:55.848634,SUCCESS,,1,11,3,False
TXN000067,CUST1676,MERCHANT005,42643.32,WALLET,2026-08-19 10:44:31.848634,SUCCESS,,1,0,1,False
TXN000068,CUST0536,MERCHANT002,8062.28,CARD,2026-08-20 02:31:43.848634,SUCCESS,,1,16,0,False
TXN000069,CUST1793,MERCHANT008,20425.58,NETBANKING,2026-08-22 03:41:41.848634,SUCCESS,,1,13,4,False
TXN000070,CUST1121,MERCHANT010,9941.32,CARD,2026-08-24 03:09:49.848634,SUCCESS,,1,0,4,False
TXN000071,CUST0995,MERCHANT003,14459.82,NETBANKING,2026-08-23 10:11:38.848634,SUCCESS,,1,1,0,False
TXN000072,CUST1399,MERCHANT005,23427.31,UPI,2026-08-23 07:08:01.848634,FAILED,Technical Error,3,6,2,False
TXN000073,CUST0078,MERCHANT005,3847.78,NETBANKING,2026-08-23 04:53:20.848634,SUCCESS,,1,7,1,False
TXN000074,CUST1618,MERCHANT007,672.75,WALLET,2026-08-25 02:07:25.848634,SUCCESS,,1,8,2,False
TXN000075,CUST0042,MERCHANT010,44684.63,CARD,2026-08-21 16:47:21.848634,SUCCESS,,1,6,4,False
TXN000076,CUST0931,MERCHANT001,24100.48,UPI,2026-08-23 02:13:21.848634,SUCCESS,,1,2,2,False
TXN000077,CUST1387,MERCHANT006,10915.27,UPI,2026-08-18 10:18:31.848634,SUCCESS,,1,3,0,False
TXN000078,CUST0165,MERCHANT010,49863.31,NETBANKING,2026-08-19 01:36:52.848634,SUCCESS,,1,18,2,False
TXN000079,CUST0501,MERCHANT001,17147.49,NETBANKING,2026-08-23 09:39:44.848634,FAILED,Network Error,1,1,2,True
TXN000080,CUST0440,MERCHANT004,12232.7,CARD,2026-08-19 02:26:44.848634,SUCCESS,,1,6,1,False
TXN000081,CUST0191,MERCHANT006,3745.82,UPI,2026-08-20 18:16:07.848634,SUCCESS,,1,12,5,False
TXN000082,CUST0594,MERCHANT005,9371.75,CARD,2026-08-20 06:01:49.848634,SUCCESS,,1,4,0,False
TXN000083,CUST1830,MERCHANT001,6445.71,WALLET,2026-08-18 08:15:04.848634,SUCCESS,,1,10,4,False
TXN000084,CUST0403,MERCHANT002,25928.81,CARD,2026-08-18 09:04:36.848634,SUCCESS,,1,18,2,False
TXN000085,CUST1407,MERCHANT001,28001.56,NETBANKING,2026-08-20 18:00:21.848634,SUCCESS,,1,18,3,False
TXN000086,CUST1505,MERCHANT008,46453.51,CARD,2026-08-19 15:33:19.848634,SUCCESS,,1,12,2,False
TXN000087,CUST1513,MERCHANT006,22672.21,CARD,2026-08-20 07:50:08.848634,SUCCESS,,1,2,4,False
TXN000088,CUST0710,MERCHANT006,25966.0,NETBANKING,2026-08-21 20:11:37.848634,SUCCESS,,1,12,5,False
TXN000089,CUST1382,MERCHANT001,14465.64,CARD,2026-08-22 17:05:02.848634,SUCCESS,,1,10,2,False
TXN000090,CUST0215,MERCHANT001,36692.98,WALLET,2026-08-20 07:59:25.848634,SUCCESS,,1,13,1,False
TXN000091,CUST0610,MERCHANT004,22632.79,CARD,2026-08-21 21:56:49.848634,SUCCESS,,1,10,4,False
TXN000092,CUST1164,MERCHANT009,21855.76,WALLET,2026-08-19 13:00:36.848634,SUCCESS,,1,8,0,False
TXN000093,CUST1434,MERCHANT006,48496.92,UPI,2026-08-23 15:04:16.848634,SUCCESS,,1,8,1,False
TXN000094,CUST1850,MERCHANT003,29289.91,WALLET,2026-08-24 19:17:08.848634,SUCCESS,,1,7,2,False
TXN000095,CUST0568,MERCHANT004,10244.78,UPI,2026-08-19 11:38:19.848634,FAILED,Network Error,2,12,2,True
TXN000096,CUST0724,MERCHANT005,38113.64,NETBANKING,2026-08-21 23:19:45.848634,SUCCESS,,1,14,3,False
TXN000097,CUST1353,MERCHANT009,5577.18,NETBANKING,2026-08-24 09:41:17.848634,SUCCESS,,1,8,1,False
TXN000098,CUST1354,MERCHANT008,18074.24,NETBANKING,2026-08-21 21:26:51.848634,SUCCESS,,1,12,2,False
TXN000099,CUST1711,MERCHANT003,1199.6,CARD,2026-08-19 06:32:35.848634,FAILED,Bank Declined,1,11,3,True
TXN000100,CUST1112,MERCHANT003,43790.43,NETBANKING,2026-08-18 22:10:32.848634,SUCCESS,,1,13,1,False
TXN000101,CUST0450,MERCHANT007,12036.32,UPI,2026-08-19 18:59:09.848634,SUCCESS,,1,10,3,False
TXN000102,CUST0560,MERCHANT007,9198.03,CARD,2026-08-22 14:27:59.848634,SUCCESS,,1,4,4,False
TXN000103,CUST0089,MERCHANT010,16114.63,WALLET,2026-08-23 08:05:52.848634,SUCCESS,,1,14,5,False
TXN000104,CUST0568,MERCHANT001,28548.63,NETBANKING,2026-08-22 19:59:53.848634,SUCCESS,,1,2,4,False
TXN000105,CUST1248,MERCHANT007,10821.82,CARD,2026-08-19 12:45:54.848634,SUCCESS,,1,7,4,False
TXN000106,CUST0528,MERCHANT010,36374.25,CARD,2026-08-24 21:12:21.848634,SUCCESS,,1,3,2,False
TXN000107,CUST1831,MERCHANT002,26113.49,NETBANKING,2026-08-18 22:55:22.848634,SUCCESS,,1,0,5,False
TXN000108,CUST0691,MERCHANT004,2013.36,CARD,2026-08-23 13:45:25.848634,SUCCESS,,1,8,3,False
TXN000109,CUST1708,MERCHANT009,13646.28,CARD,2026-08-23 05:58:53.848634,SUCCESS,,1,9,0,False
TXN000110,CUST1552,MERCHANT006,47489.11,WALLET,2026-08-24 04:03:37.848634,SUCCESS,,1,18,3,False
TXN000111,CUST0661,MERCHANT006,39951.47,UPI,2026-08-22 16:48:37.848634,SUCCESS,,1,0,3,False
TXN000112,CUST0039,MERCHANT009,33107.49,WALLET,2026-08-18 22:11:13.848634,SUCCESS,,1,14,0,False
TXN000113,CUST0978,MERCHANT009,35954.74,UPI,2026-08-23 12:17:54.848634,SUCCESS,,1,0,2,False
TXN000114,CUST1325,MERCHANT001,12188.24,WALLET,2026-08-24 20:50:36.848634,SUCCESS,,1,5,5,False
TXN000115,CUST0438,MERCHANT007,27216.07,NETBANKING,2026-08-24 19:23:40.848634,SUCCESS,,1,3,1,False
TXN000116,CUST1364,MERCHANT001,29059.58,NETBANKING,2026-08-19 16:03:53.848634,SUCCESS,,1,20,5,False
TXN000117,CUST1569,MERCHANT009,11351.18,CARD,2026-08-19 14:49:43.848634,SUCCESS,,1,10,2,False
TXN000118,CUST0837,MERCHANT007,13658.96,WALLET,2026-08-22 17:46:33.848634,SUCCESS,,1,17,2,False
TXN000119,CUST0080,MERCHANT008,23407.57,WALLET,2026-08-18 16:25:13.848634,SUCCESS,,1,0,1,False
TXN000120,CUST0150,MERCHANT005,2423.26,WALLET,2026-08-22 05:01:42.848634,SUCCESS,,1,10,3,False
TXN000121,CUST1748,MERCHANT002,8130.97,CARD,2026-08-19 21:53:43.848634,SUCCESS,,1,4,3,False
TXN000122,CUST1560,MERCHANT004,5743.91,UPI,2026-08-24 05:13:08.848634,SUCCESS,,1,20,5,False
TXN000123,CUST1657,MERCHANT007,14718.67,WALLET,2026-08-20 12:51:17.848634,SUCCESS,,1,8,4,False
TXN000124,CUST0563,MERCHANT007,2154.97,NETBANKING,2026-08-20 02:23:32.848634,SUCCESS,,1,0,5,False
TXN000125,CUST1732,MERCHANT010,27129.87,CARD,2026-08-25 00:04:35.848634,SUCCESS,,1,3,4,False
TXN000126,CUST0472,MERCHANT002,19299.46,CARD,2026-08-19 12:53:33.848634,SUCCESS,,1,10,1,False
TXN000127,CUST0115,MERCHANT006,19631.72,UPI,2026-08-19 09:33:30.848634,SUCCESS,,1,9,5,False
TXN000128,CUST0715,MERCHANT010,37922.6,CARD,2026-08-21 22:59:04.848634,FAILED,Insufficient Funds,2,2,2,True
TXN000129,CUST0239,MERCHANT010,33407.02,WALLET,2026-08-18 05:23:16.848634,SUCCESS,,1,10,5,False
TXN000130,CUST0590,MERCHANT006,44531.43,CARD,2026-08-22 18:26:29.848634,SUCCESS,,1,11,0,False
TXN000131,CUST1991,MERCHANT003,43105.09,CARD,2026-08-24 03:23:03.848634,SUCCESS,,1,11,4,False
TXN000132,CUST0587,MERCHANT004,30549.41,UPI,2026-08-24 12:32:23.848634,SUCCESS,,1,4,0,False
TXN000133,CUST0002,MERCHANT008,38474.74,WALLET,2026-08-20 09:08:16.848634,SUCCESS,,1,1,1,False
TXN000134,CUST0216,MERCHANT004,39837.47,WALLET,2026-08-19 21:23:06.848634,SUCCESS,,1,18,0,False
TXN000135,CUST1663,MERCHANT006,33362.54,WALLET,2026-08-23 00:53:20.848634,SUCCESS,,1,13,5,False
TXN000136,CUST0163,MERCHANT010,474.26,CARD,2026-08-20 10:10:54.848634,SUCCESS,,1,2,1,False
TXN000137,CUST0763,MERCHANT007,42955.48,WALLET,2026-08-19 05:51:19.848634,SUCCESS,,1,9,3,False
TXN000138,CUST1804,MERCHANT005,2110.97,WALLET,2026-08-19 13:11:33.848634,SUCCESS,,1,19,2,False
TXN000139,CUST0594,MERCHANT004,38771.84,CARD,2026-08-24 08:10:10.848634,SUCCESS,,1,17,2,False
TXN000140,CUST1204,MERCHANT007,38133.38,NETBANKING,2026-08-19 02:38:55.848634,SUCCESS,,1,0,2,False
TXN000141,CUST1982,MERCHANT009,26186.98,CARD,2026-08-24 21:46:26.848634,SUCCESS,,1,12,2,False
TXN000142,CUST1349,MERCHANT009,41492.92,NETBANKING,2026-08-19 14:51:26.848634,SUCCESS,,1,5,1,False
TXN000143,CUST0512,MERCHANT004,49238.64,UPI,2026-08-22 02:19:56.848634,SUCCESS,,1,3,2,False
TXN000144,CUST0751,MERCHANT006,47307.46,WALLET,2026-08-24 14:20:56.848634,SUCCESS,,1,20,3,False
TXN000145,CUST0907,MERCHANT010,881.18,UPI,2026-08-22 03:03:49.848634,SUCCESS,,1,16,2,False
TXN000146,CUST0408,MERCHANT007,49551.02,NETBANKING,2026-08-22 17:11:14.848634,FAILED,Timeout,2,4,4,True
TXN000147,CUST1262,MERCHANT010,247.67,NETBANKING,2026-08-24 04:04:55.848634,SUCCESS,,1,11,0,False
TXN000148,CUST1942,MERCHANT008,41484.51,CARD,2026-08-18 09:37:12.848634,SUCCESS,,1,20,4,False
TXN000149,CUST0393,MERCHANT002,39530.34,UPI,2026-08-20 15:36:40.848634,SUCCESS,,1,7,0,False
TXN000150,CUST1524,MERCHANT001,18258.77,CARD,2026-08-22 23:09:53.848634,SUCCESS,,1,11,0,False
TXN000151,CUST1237,MERCHANT003,23868.36,NETBANKING,2026-08-20 21:12:17.848634,FAILED,Technical Error,2,5,5,True
TXN000152,CUST0806,MERCHANT006,12757.74,UPI,2026-08-25 02:08:14.848634,SUCCESS,,1,10,3,False
TXN000153,CUST0958,MERCHANT007,31528.51,UPI,2026-08-18 08:10:27.848634,SUCCESS,,1,20,3,False
TXN000154,CUST0721,MERCHANT009,45355.32,NETBANKING,2026-08-23 21:25:29.848634,SUCCESS,,1,19,1,False
TXN000155,CUST1520,MERCHANT007,14560.34,CARD,2026-08-21 10:01:45.848634,SUCCESS,,1,11,3,False
TXN000156,CUST0923,MERCHANT003,41410.91,CARD,2026-08-21 19:58:51.848634,SUCCESS,,1,0,3,False
TXN000157,CUST1058,MERCHANT003,28166.86,NETBANKING,2026-08-21 16:21:29.848634,SUCCESS,,1,11,2,False
TXN000158,CUST0665,MERCHANT002,8976.92,CARD,2026-08-18 14:57:59.848634,SUCCESS,,1,16,0,False
TXN000159,CUST1599,MERCHANT009,4452.17,WALLET,2026-08-24 12:53:45.848634,SUCCESS,,1,18,3,False
TXN000160,CUST1562,MERCHANT006,34872.01,UPI,2026-08-20 10:08:30.848634,SUCCESS,,1,19,2,False
TXN000161,CUST1860,MERCHANT009,41725.82,CARD,2026-08-24 12:31:04.848634,SUCCESS,,1,9,2,False
TXN000162,CUST0587,MERCHANT002,33426.3,NETBANKING,2026-08-18 21:42:54.848634,SUCCESS,,1,3,1,False
TXN000163,CUST0087,MERCHANT001,10142.27,NETBANKING,2026-08-23 09:27:41.848634,SUCCESS,,1,20,4,False
TXN000164,CUST0303,MERCHANT004,31995.26,CARD,2026-08-20 06:20:26.848634,SUCCESS,,1,9,3,False
TXN000165,CUST0551,MERCHANT005,17507.7,WALLET,2026-08-22 10:16:00.848634,SUCCESS,,1,18,5,False
TXN000166,CUST1414,MERCHANT001,49601.39,CARD,2026-08-20 01:33:30.848634,SUCCESS,,1,1,3,False
TXN000167,CUST0595,MERCHANT006,28542.08,NETBANKING,2026-08-21 13:14:54.848634,FAILED,Timeout,2,7,1,True
TXN000168,CUST1842,MERCHANT008,37635.67,NETBANKING,2026-08-19 16:37:19.848634,SUCCESS,,1,9,1,False
TXN000169,CUST0546,MERCHANT008,6405.66,CARD,2026-08-23 12:19:36.848634,SUCCESS,,1,5,5,False
TXN000170,CUST0174,MERCHANT007,40028.14,WALLET,2026-08-23 14:07:19.848634,SUCCESS,,1,17,3,False
TXN000171,CUST0194,MERCHANT008,49262.86,UPI,2026-08-19 19:45:15.848634,FAILED,Timeout,1,20,0,True
TXN000172,CUST1780,MERCHANT004,23002.21,CARD,2026-08-23 13:19:20.848634,SUCCESS,,1,15,4,False
TXN000173,CUST0763,MERCHANT008,37076.57,WALLET,2026-08-24 12:32:08.848634,SUCCESS,,1,10,3,False
TXN000174,CUST0811,MERCHANT007,37484.28,NETBANKING,2026-08-23 17:40:40.848634,SUCCESS,,1,18,0,False
TXN000175,CUST1480,MERCHANT003,21059.06,WALLET,2026-08-23 07:50:20.848634,SUCCESS,,1,11,4,False
TXN000176,CUST0213,MERCHANT004,8821.01,NETBANKING,2026-08-20 14:49:09.848634,SUCCESS,,1,2,5,False
TXN000177,CUST0363,MERCHANT004,23538.7,CARD,2026-08-19 09:55:03.848634,SUCCESS,,1,7,0,False
TXN000178,CUST1541,MERCHANT002,14711.06,WALLET,2026-08-22 13:21:45.848634,SUCCESS,,1,19,1,False
TXN000179,CUST1996,MERCHANT009,4538.64,UPI,2026-08-20 03:25:11.848634,SUCCESS,,1,15,3,False
TXN000180,CUST0485,MERCHANT002,5244.63,NETBANKING,2026-08-22 05:49:49.848634,SUCCESS,,1,14,0,False
TXN000181,CUST0181,MERCHANT003,12088.99,CARD,2026-08-24 02:46:10.848634,SUCCESS,,1,14,4,False
TXN000182,CUST0591,MERCHANT007,1770.65,WALLET,2026-08-24 18:15:24.848634,SUCCESS,,1,1,0,False
TXN000183,CUST1524,MERCHANT008,26752.36,NETBANKING,2026-08-21 13:29:06.848634,SUCCESS,,1,11,0,False
TXN000184,CUST1344,MERCHANT004,11195.35,NETBANKING,2026-08-24 05:20:46.848634,SUCCESS,,1,5,3,False
TXN000185,CUST1835,MERCHANT006,33104.07,UPI,2026-08-21 09:34:21.848634,SUCCESS,,1,14,2,False
TXN000186,CUST0475,MERCHANT001,26382.91,UPI,2026-08-21 15:33:46.848634,SUCCESS,,1,6,4,False
TXN000187,CUST1754,MERCHANT010,2038.82,UPI,2026-08-22 17:18:10.848634,SUCCESS,,1,18,5,False
TXN000188,CUST1528,MERCHANT004,10019.86,CARD,2026-08-19 09:03:28.848634,SUCCESS,,1,20,1,False
TXN000189,CUST1352,MERCHANT009,15009.75,NETBANKING,2026-08-24 10:16:23.848634,SUCCESS,,1,20,4,False
TXN000190,CUST1086,MERCHANT002,39417.06,CARD,2026-08-21 09:23:36.848634,SUCCESS,,1,0,0,False
TXN000191,CUST1648,MERCHANT005,35599.54,CARD,2026-08-22 07:28:57.848634,SUCCESS,,1,16,2,False
TXN000192,CUST0560,MERCHANT006,9105.67,NETBANKING,2026-08-20 10:49:35.848634,SUCCESS,,1,18,5,False
TXN000193,CUST0182,MERCHANT009,8357.7,NETBANKING,2026-08-22 20:01:10.848634,FAILED,Timeout,1,15,5,True
TXN000194,CUST1656,MERCHANT004,49965.46,CARD,2026-08-22 07:30:06.848634,SUCCESS,,1,4,4,False
TXN000195,CUST0483,MERCHANT002,14070.37,WALLET,2026-08-24 15:48:42.848634,FAILED,Insufficient Funds,3,15,4,False
TXN000196,CUST0361,MERCHANT007,45223.79,UPI,2026-08-18 22:24:03.848634,SUCCESS,,1,11,3,False
TXN000197,CUST1729,MERCHANT003,7366.55,CARD,2026-08-24 21:33:58.848634,SUCCESS,,1,9,3,False
TXN000198,CUST1528,MERCHANT010,45332.09,UPI,2026-08-19 16:56:37.848634,SUCCESS,,1,17,1,False
TXN000199,CUST1037,MERCHANT005,45699.25,WALLET,2026-08-19 02:25:07.848634,SUCCESS,,1,4,4,False
TXN000200,CUST0934,MERCHANT010,15154.67,CARD,2026-08-24 11:22:50.848634,SUCCESS,,1,9,2,False
TXN000201,CUST1686,MERCHANT009,47065.26,CARD,2026-08-20 20:43:02.848634,SUCCESS,,1,16,0,False
TXN000202,CUST0424,MERCHANT006,40580.56,UPI,2026-08-24 03:26:44.848634,SUCCESS,,1,9,1,False
TXN000203,CUST0797,MERCHANT002,23248.72,NETBANKING,2026-08-19 11:48:14.848634,SUCCESS,,1,10,0,False
TXN000204,CUST1683,MERCHANT006,1267.81,CARD,2026-08-23 11:30:53.848634,SUCCESS,,1,0,0,False
TXN000205,CUST1803,MERCHANT007,22326.52,NETBANKING,2026-08-20 12:26:32.848634,SUCCESS,,1,9,3,False
TXN000206,CUST0331,MERCHANT001,17081.68,CARD,2026-08-22 07:00:18.848634,SUCCESS,,1,6,4,False
TXN000207,CUST0330,MERCHANT004,18596.4,NETBANKING,2026-08-21 07:16:25.848634,SUCCESS,,1,7,2,False
TXN000208,CUST0144,MERCHANT008,12114.46,UPI,2026-08-23 11:47:39.848634,SUCCESS,,1,15,1,False
TXN000209,CUST1469,MERCHANT009,10476.32,WALLET,2026-08-22 15:21:20.848634,SUCCESS,,1,2,3,False
TXN000210,CUST1004,MERCHANT008,46806.41,UPI,2026-08-22 21:51:37.848634,SUCCESS,,1,20,0,False
TXN000211,CUST0856,MERCHANT009,10071.59,CARD,2026-08-22 00:37:20.848634,SUCCESS,,1,18,3,False
TXN000212,CUST0961,MERCHANT002,27519.41,UPI,2026-08-24 23:31:08.848634,SUCCESS,,1,8,3,False
TXN000213,CUST1258,MERCHANT008,46620.45,CARD,2026-08-21 11:17:44.848634,SUCCESS,,1,11,0,False
TXN000214,CUST0403,MERCHANT010,36686.53,WALLET,2026-08-24 07:33:27.848634,SUCCESS,,1,12,4,False
TXN000215,CUST1421,MERCHANT004,34050.83,NETBANKING,2026-08-25 02:25:37.848634,SUCCESS,,1,13,3,False
TXN000216,CUST0750,MERCHANT007,11060.4,CARD,2026-08-24 19:57:01.848634,SUCCESS,,1,9,2,False
TXN000217,CUST0068,MERCHANT006,43887.02,UPI,2026-08-20 00:04:49.848634,SUCCESS,,1,20,1,False
TXN000218,CUST1303,MERCHANT009,47271.0,WALLET,2026-08-21 22:08:27.848634,SUCCESS,,1,0,0,False
TXN000219,CUST0816,MERCHANT010,14639.54,UPI,2026-08-23 06:14:05.848634,SUCCESS,,1,14,5,False
TXN000220,CUST0233,MERCHANT006,20848.8,NETBANKING,2026-08-21 10:34:04.848634,SUCCESS,,1,10,3,False
TXN000221,CUST1774,MERCHANT003,22773.55,CARD,2026-08-22 07:16:34.848634,SUCCESS,,1,0,4,False
TXN000222,CUST1706,MERCHANT002,35255.53,WALLET,2026-08-24 03:58:25.848634,SUCCESS,,1,8,4,False
TXN000223,CUST1146,MERCHANT006,12414.06,WALLET,2026-08-20 21:50:47.848634,SUCCESS,,1,15,0,False
