amount,payment_method,failure_reason,attempt_number,previous_successes,previous_failures,is_high_value,is_first_attempt,customer_success_ratio,recovered
19099.49,UPI,Technical Error,1,20,4,0,1,0.8,0
38835.78,UPI,Insufficient Funds,3,17,0,1,0,0.9444444444444444,0
32025.1,CARD,Bank Declined,3,4,0,1,0,0.8,0
24457.23,UPI,Technical Error,1,20,3,0,1,0.8333333333333334,1
43023.59,NETBANKING,Timeout,3,18,5,1,0,0.75,0
6095.85,CARD,Network Error,1,4,5,0,1,0.4,1
25544.14,WALLET,Insufficient Funds,2,0,1,1,0,0.0,0
44673.46,CARD,Timeout,1,2,5,1,1,0.25,0
35031.89,UPI,Network Error,1,13,0,1,1,0.9285714285714286,1
1292.06,NETBANKING,Bank Declined,3,16,3,0,0,0.8,0
15518.71,WALLET,Timeout,1,18,0,0,1,0.9473684210526315,0
44429.74,NETBANKING,Timeout,3,4,4,1,0,0.4444444444444444,0
36568.96,NETBANKING,Network Error,2,17,4,1,0,0.7727272727272727,0
30127.44,UPI,Technical Error,2,15,1,1,0,0.8823529411764706,1
40106.04,WALLET,Bank Declined,2,20,4,1,0,0.8,1
15963.91,WALLET,Timeout,1,13,0,0,1,0.9285714285714286,1
35856.03,NETBANKING,Bank Declined,2,1,0,1,0,0.5,1
33168.9,NETBANKING,Technical Error,2,17,0,1,0,0.9444444444444444,1
23295.66,UPI,Network Error,2,15,1,0,0,0.8823529411764706,1
6827.72,NETBANKING,Bank Declined,1,10,2,0,1,0.7692307692307693,0
14754.16,NETBANKING,Network Error,3,7,2,0,0,0.7,1
35838.69,UPI,Timeout,2,10,3,1,0,0.7142857142857143,1
8037.9,WALLET,Bank Declined,3,18,2,0,0,0.8571428571428571,0
9071.54,WALLET,Timeout,3,5,1,0,0,0.7142857142857143,1
39895.84,NETBANKING,Timeout,3,10,1,1,0,0.8333333333333334,0
3061.1,WALLET,Timeout,3,2,3,0,0,0.3333333333333333,1
13301.53,UPI,Technical Error,2,1,1,0,0,0.3333333333333333,0
32424.44,UPI,Insufficient Funds,3,1,5,1,0,0.14285714285714285,0
15262.64,CARD,Technical Error,1,4,2,0,1,0.5714285714285714,1
44589.78,CARD,Technical Error,1,17,5,1,1,0.7391304347826086,1
21650.4,NETBANKING,Bank Declined,2,10,4,0,0,0.6666666666666666,0
11986.01,UPI,Network Error,3,18,5,0,0,0.75,0
19176.92,UPI,Insufficient Funds,2,8,1,0,0,0.8,0
24101.66,NETBANKING,Insufficient Funds,1,19,3,0,1,0.8260869565217391,0
36907.98,CARD,Technical Error,3,14,1,1,0,0.875,1
6731.9,NETBANKING,Bank Declined,2,13,4,0,0,0.7222222222222222,0
19399.51,WALLET,Bank Declined,2,16,2,0,0,0.8421052631578947,1
38582.36,UPI,Insufficient Funds,2,5,5,1,0,0.45454545454545453,0
49425.26,UPI,Bank Declined,1,19,4,1,1,0.7916666666666666,0
25439.9,UPI,Network Error,3,16,3,1,0,0.8,1
21488.64,UPI,Insufficient Funds,2,20,2,0,0,0.8695652173913043,1
12254.79,UPI,Technical Error,2,8,1,0,0,0.8,1
27535.87,NETBANKING,Bank Declined,3,14,1,1,0,0.875,1
2846.89,UPI,Timeout,3,17,5,0,0,0.7391304347826086,0
12989.36,CARD,Technical Error,2,12,2,0,0,0.8,0
25597.44,WALLET,Timeout,1,18,5,1,1,0.75,0
10750.24,UPI,Timeout,1,12,3,0,1,0.75,1
15417.59,WALLET,Bank Declined,1,10,4,0,1,0.6666666666666666,1
7744.21,CARD,Network Error,3,7,4,0,0,0.5833333333333334,0
43759.11,NETBANKING,Network Error,2,18,2,1,0,0.8571428571428571,0
34015.24,NETBANKING,Insufficient Funds,2,20,4,1,0,0.8,0
23704.32,WALLET,Timeout,1,1,0,0,1,0.5,0
2262.41,UPI,Timeout,2,13,4,0,0,0.7222222222222222,1
39506.08,CARD,Timeout,2,15,2,1,0,0.8333333333333334,1
46384.67,WALLET,Technical Error,1,0,4,1,1,0.0,1
13522.18,WALLET,Insufficient Funds,3,15,4,0,0,0.75,1
1920.15,UPI,Network Error,2,5,4,0,0,0.5,1
34665.41,CARD,Timeout,3,15,1,1,0,0.8823529411764706,1
24235.05,UPI,Insufficient Funds,1,1,0,0,1,0.5,0
2491.65,UPI,Bank Declined,3,2,0,0,0,0.6666666666666666,0
16938.94,CARD,Bank Declined,2,10,3,0,0,0.7142857142857143,0
39759.93,CARD,Network Error,2,13,5,1,0,0.6842105263157895,0
2292.16,WALLET,Bank Declined,2,0,5,0,0,0.0,0
3620.72,WALLET,Network Error,3,4,5,0,0,0.4,0
4396.82,UPI,Timeout,1,11,1,0,1,0.8461538461538461,1
29602.4,NETBANKING,Technical Error,2,13,0,1,0,0.9285714285714286,1
5239.91,NETBANKING,Timeout,1,9,3,0,1,0.6923076923076923,1
31304.31,WALLET,Bank Declined,3,17,1,1,0,0.8947368421052632,1
30046.36,CARD,Bank Declined,2,10,1,1,0,0.8333333333333334,1
30900.86,UPI,Bank Declined,3,10,1,1,0,0.8333333333333334,0
4824.77,UPI,Network Error,3,1,4,0,0,0.16666666666666666,0
22890.94,CARD,Bank Declined,2,17,4,0,0,0.7727272727272727,0
1551.37,WALLET,Network Error,2,14,4,0,0,0.7368421052631579,0
38736.62,UPI,Network Error,1,15,1,1,1,0.8823529411764706,1
49318.6,NETBANKING,Timeout,2,4,1,1,0,0.6666666666666666,1
13815.41,WALLET,Network Error,1,5,4,0,1,0.5,0
39627.94,CARD,Bank Declined,2,8,3,1,0,0.6666666666666666,0
28013.48,WALLET,Technical Error,2,1,5,1,0,0.14285714285714285,0
38946.42,NETBANKING,Bank Declined,1,12,0,1,1,0.9230769230769231,0
33645.51,CARD,Network Error,3,13,2,1,0,0.8125,1
17216.86,NETBANKING,Bank Declined,1,12,4,0,1,0.7058823529411765,1
39006.28,UPI,Insufficient Funds,2,8,1,1,0,0.8,1
41212.3,WALLET,Network Error,2,13,3,1,0,0.7647058823529411,1
9819.7,NETBANKING,Bank Declined,1,6,0,0,1,0.8571428571428571,0
37189.76,NETBANKING,Bank Declined,2,18,2,1,0,0.8571428571428571,0
42156.71,NETBANKING,Insufficient Funds,3,7,2,1,0,0.7,1
15411.33,WALLET,Network Error,3,2,2,0,0,0.4,0
31506.01,UPI,Bank Declined,3,17,0,1,0,0.9444444444444444,0
17767.18,UPI,Timeout,2,5,4,0,0,0.5,1
44174.06,NETBANKING,Technical Error,2,19,5,1,0,0.76,1
26190.63,CARD,Network Error,3,16,4,1,0,0.7619047619047619,1
48099.73,WALLET,Technical Error,2,17,1,1,0,0.8947368421052632,0
27531.48,WALLET,Insufficient Funds,3,14,2,1,0,0.8235294117647058,0
44896.13,NETBANKING,Insufficient Funds,3,19,5,1,0,0.76,0
8711.77,UPI,Insufficient Funds,2,6,1,0,0,0.75,0
8159.76,CARD,Technical Error,2,15,0,0,0,0.9375,1
34096.86,NETBANKING,Bank Declined,2,9,2,1,0,0.75,0
44997.98,WALLET,Insufficient Funds,2,7,1,1,0,0.7777777777777778,0
3606.24,WALLET,Technical Error,1,20,2,0,1,0.8695652173913043,1
20374.56,CARD,Technical Error,2,10,5,0,0,0.625,1
3799.3,UPI,Technical Error,1,6,4,0,1,0.5454545454545454,1
14597.3,NETBANKING,Technical Error,2,6,4,0,0,0.5454545454545454,1
4732.58,UPI,Network Error,1,7,4,0,1,0.5833333333333334,1
24357.12,CARD,Bank Declined,1,15,2,0,1,0.8333333333333334,0
37505.29,WALLET,Bank Declined,3,2,0,1,0,0.6666666666666666,0
36690.26,NETBANKING,Insufficient Funds,3,14,2,1,0,0.8235294117647058,1
36820.09,UPI,Insufficient Funds,1,14,2,1,1,0.8235294117647058,1
9156.22,UPI,Bank Declined,1,18,3,0,1,0.8181818181818182,0
41354.52,CARD,Bank Declined,2,4,0,1,0,0.8,1
24830.55,WALLET,Bank Declined,3,7,5,0,0,0.5384615384615384,1
16211.65,CARD,Timeout,2,7,3,0,0,0.6363636363636364,1
44906.31,CARD,Insufficient Funds,1,2,1,1,1,0.5,0
15474.35,WALLET,Network Error,2,14,3,0,0,0.7777777777777778,1
49102.32,NETBANKING,Timeout,3,4,4,1,0,0.4444444444444444,0
42855.97,UPI,Technical Error,3,7,2,1,0,0.7,0
21002.85,UPI,Insufficient Funds,2,0,3,0,0,0.0,0
6537.2,UPI,Bank Declined,2,7,2,0,0,0.7,0
35968.82,WALLET,Network Error,3,3,4,1,0,0.375,0
2364.66,WALLET,Network Error,3,8,1,0,0,0.8,0
1702.31,NETBANKING,Technical Error,1,15,1,0,1,0.8823529411764706,1
32430.35,WALLET,Timeout,3,9,3,1,0,0.6923076923076923,0
6815.98,NETBANKING,Insufficient Funds,3,13,3,0,0,0.7647058823529411,1
290.84,WALLET,Bank Declined,1,0,1,0,1,0.0,0
49363.98,WALLET,Network Error,3,16,4,1,0,0.7619047619047619,1
24570.9,UPI,Technical Error,1,9,5,0,1,0.6,1
1136.45,NETBANKING,Technical Error,3,17,5,0,0,0.7391304347826086,1
814.7,NETBANKING,Insufficient Funds,3,7,2,0,0,0.7,0
2520.11,WALLET,Bank Declined,1,17,3,0,1,0.8095238095238095,0
39739.56,CARD,Technical Error,2,2,4,1,0,0.2857142857142857,1
1801.25,WALLET,Bank Declined,1,4,4,0,1,0.4444444444444444,0
8388.97,WALLET,Timeout,3,7,4,0,0,0.5833333333333334,1
13700.28,WALLET,Timeout,3,13,4,0,0,0.7222222222222222,0
8292.2,WALLET,Timeout,1,14,1,0,1,0.875,1
9167.0,UPI,Technical Error,1,8,5,0,1,0.5714285714285714,0
4258.5,UPI,Technical Error,1,0,4,0,1,0.0,1
10564.87,NETBANKING,Insufficient Funds,3,11,5,0,0,0.6470588235294118,0
3052.38,CARD,Bank Declined,2,3,2,0,0,0.5,1
42512.58,CARD,Timeout,3,19,2,1,0,0.8636363636363636,1
15434.31,UPI,Timeout,3,8,5,0,0,0.5714285714285714,1
21670.61,UPI,Insufficient Funds,1,1,4,0,1,0.16666666666666666,0
29708.84,UPI,Insufficient Funds,2,15,5,1,0,0.7142857142857143,0
35522.48,CARD,Technical Error,1,13,4,1,1,0.7222222222222222,1
27913.08,WALLET,Insufficient Funds,3,18,1,1,0,0.9,0
3469.25,NETBANKING,Timeout,2,14,3,0,0,0.7777777777777778,0
41584.03,UPI,Technical Error,3,2,3,1,0,0.3333333333333333,0
6216.72,UPI,Technical Error,2,7,1,0,0,0.7777777777777778,1
44259.54,CARD,Bank Declined,3,6,3,1,0,0.6,1
30295.17,WALLET,Bank Declined,2,4,3,1,0,0.5,1
26241.6,WALLET,Technical Error,1,5,5,1,1,0.45454545454545453,0
48243.92,NETBANKING,Bank Declined,2,19,0,1,0,0.95,0
12595.18,WALLET,Network Error,2,14,5,0,0,0.7,0
9714.77,WALLET,Network Error,2,13,4,0,0,0.7222222222222222,1
38694.99,CARD,Insufficient Funds,1,13,1,1,1,0.8666666666666667,1
33543.2,UPI,Bank Declined,3,10,4,1,0,0.6666666666666666,0
11790.72,NETBANKING,Technical Error,1,18,5,0,1,0.75,0
16009.74,NETBANKING,Timeout,2,1,0,0,0,0.5,0
29409.19,UPI,Insufficient Funds,1,6,3,1,1,0.6,0
30982.8,CARD,Technical Error,1,11,4,1,1,0.6875,1
17468.83,UPI,Network Error,1,11,4,0,1,0.6875,1
21001.03,CARD,Timeout,3,18,3,0,0,0.8181818181818182,1
13439.11,CARD,Timeout,1,1,4,0,1,0.16666666666666666,0
7662.87,CARD,Insufficient Funds,3,5,3,0,0,0.5555555555555556,0
13888.74,UPI,Technical Error,1,7,3,0,1,0.6363636363636364,1
18833.47,NETBANKING,Timeout,3,7,5,0,0,0.5384615384615384,1
47142.33,UPI,Bank Declined,3,16,1,1,0,0.8888888888888888,0
21276.02,WALLET,Bank Declined,3,2,5,0,0,0.25,1
12364.0,CARD,Bank Declined,2,0,4,0,0,0.0,1
33248.73,NETBANKING,Network Error,2,11,1,1,0,0.8461538461538461,1
28562.93,NETBANKING,Bank Declined,2,13,5,1,0,0.6842105263157895,0
38303.42,NETBANKING,Timeout,2,14,1,1,0,0.875,1
41839.73,NETBANKING,Bank Declined,1,6,1,1,1,0.75,1
24505.97,CARD,Technical Error,1,17,5,0,1,0.7391304347826086,0
6092.11,CARD,Technical Error,3,11,2,0,0,0.7857142857142857,1
1854.81,NETBANKING,Bank Declined,2,9,4,0,0,0.6428571428571429,0
48819.13,WALLET,Timeout,3,17,1,1,0,0.8947368421052632,0
35386.37,NETBANKING,Network Error,3,5,1,1,0,0.7142857142857143,0
5386.77,CARD,Insufficient Funds,2,16,1,0,0,0.8888888888888888,0
12983.69,CARD,Insufficient Funds,1,0,3,0,1,0.0,0
41632.12,CARD,Technical Error,2,3,0,1,0,0.75,0
13380.73,CARD,Technical Error,2,11,5,0,0,0.6470588235294118,1
31824.98,CARD,Insufficient Funds,3,4,1,1,0,0.6666666666666666,0
19631.11,WALLET,Timeout,1,2,4,0,1,0.2857142857142857,1
45313.53,NETBANKING,Insufficient Funds,2,8,0,1,0,0.8888888888888888,1
43928.68,UPI,Network Error,2,6,1,1,0,0.75,0
17483.9,CARD,Timeout,2,5,0,0,0,0.8333333333333334,1
2726.58,CARD,Insufficient Funds,2,20,4,0,0,0.8,0
5629.68,NETBANKING,Technical Error,2,14,0,0,0,0.9333333333333333,0
39497.29,CARD,Network Error,2,5,2,1,0,0.625,0
22138.44,NETBANKING,Timeout,3,13,1,0,0,0.8666666666666667,0
49836.27,NETBANKING,Timeout,2,6,1,1,0,0.75,1
20847.02,UPI,Network Error,3,20,3,0,0,0.8333333333333334,1
27753.72,UPI,Bank Declined,2,11,1,1,0,0.8461538461538461,1
16896.22,CARD,Network Error,2,17,4,0,0,0.7727272727272727,0
17461.79,UPI,Bank Declined,2,1,3,0,0,0.2,1
43579.67,NETBANKING,Network Error,1,18,5,1,1,0.75,1
16850.93,NETBANKING,Technical Error,1,0,4,0,1,0.0,0
48101.46,NETBANKING,Timeout,1,16,5,1,1,0.7272727272727273,1
26899.83,CARD,Technical Error,2,2,4,1,0,0.2857142857142857,0
15861.99,NETBANKING,Network Error,3,12,0,0,0,0.9230769230769231,0
15809.85,UPI,Bank Declined,3,20,2,0,0,0.8695652173913043,0
21941.01,NETBANKING,Technical Error,2,13,2,0,0,0.8125,1
40009.52,WALLET,Technical Error,2,3,3,1,0,0.42857142857142855,1
17912.22,CARD,Timeout,3,14,4,0,0,0.7368421052631579,0
7968.2,CARD,Bank Declined,3,2,4,0,0,0.2857142857142857,0
13338.55,CARD,Technical Error,2,4,1,0,0,0.6666666666666666,0
26254.15,CARD,Bank Declined,3,19,1,1,0,0.9047619047619048,0
40991.38,WALLET,Network Error,2,3,4,1,0,0.375,0
24504.44,WALLET,Timeout,3,1,2,0,0,0.25,1
23924.09,CARD,Insufficient Funds,2,7,2,0,0,0.7,0
23994.02,CARD,Technical Error,2,0,4,0,0,0.0,0
18520.28,UPI,Technical Error,2,1,1,0,0,0.3333333333333333,1
21071.77,WALLET,Timeout,1,17,3,0,1,0.8095238095238095,1
17188.0,UPI,Timeout,3,13,3,0,0,0.7647058823529411,0
42945.14,WALLET,Technical Error,3,3,5,1,0,0.3333333333333333,0
3116.98,CARD,Bank Declined,2,2,5,0,0,0.25,0
20922.93,NETBANKING,Bank Declined,2,4,1,0,0,0.6666666666666666,0
19176.82,WALLET,Technical Error,3,1,4,0,0,0.16666666666666666,1
6086.13,CARD,Timeout,1,2,5,0,1,0.25,0
12791.01,WALLET,Insufficient Funds,2,1,5,0,0,0.14285714285714285,0
3325.12,CARD,Technical Error,2,4,4,0,0,0.4444444444444444,1
1880.16,WALLET,Bank Declined,2,10,0,0,0,0.9090909090909091,0
15850.25,NETBANKING,Bank Declined,1,2,2,0,1,0.4,0
3412.94,CARD,Insufficient Funds,2,18,4,0,0,0.782608695652174,0
37590.52,UPI,Technical Error,1,13,2,1,1,0.8125,1
36732.33,UPI,Network Error,3,2,3,1,0,0.3333333333333333,0
48428.79,UPI,Technical Error,1,4,0,1,1,0.8,1
16550.81,CARD,Technical Error,1,9,5,0,1,0.6,1
35163.7,CARD,Insufficient Funds,3,15,0,1,0,0.9375,0
25377.44,UPI,Timeout,1,10,2,1,1,0.7692307692307693,1
49970.68,UPI,Timeout,1,7,2,1,1,0.7,0
29478.97,WALLET,Bank Declined,3,15,5,1,0,0.7142857142857143,0
18004.6,UPI,Timeout,2,6,1,0,0,0.75,1
34955.47,WALLET,Timeout,1,11,1,1,1,0.8461538461538461,1
5643.03,UPI,Bank Declined,3,14,1,0,0,0.875,0
11763.83,WALLET,Network Error,2,18,0,0,0,0.9473684210526315,1
33957.05,NETBANKING,Technical Error,2,5,1,1,0,0.7142857142857143,0
8130.3,CARD,Bank Declined,1,10,2,0,1,0.7692307692307693,0
49948.46,WALLET,Network Error,2,3,1,1,0,0.6,0
12463.86,CARD,Timeout,2,7,3,0,0,0.6363636363636364,1
34406.7,CARD,Insufficient Funds,3,3,4,1,0,0.375,0
45509.26,NETBANKING,Insufficient Funds,2,6,3,1,0,0.6,1
46082.04,WALLET,Bank Declined,2,0,2,1,0,0.0,0
36508.07,CARD,Bank Declined,3,18,5,1,0,0.75,1
17336.74,WALLET,Insufficient Funds,2,14,2,0,0,0.8235294117647058,0
17147.32,CARD,Bank Declined,1,11,2,0,1,0.7857142857142857,1
7753.95,UPI,Network Error,1,6,1,0,1,0.75,1
44991.15,NETBANKING,Insufficient Funds,1,2,3,1,1,0.3333333333333333,0
18744.57,NETBANKING,Insufficient Funds,3,5,3,0,0,0.5555555555555556,1
10360.84,WALLET,Network Error,1,10,0,0,1,0.9090909090909091,1
489.58,NETBANKING,Technical Error,2,7,5,0,0,0.5384615384615384,0
39952.2,WALLET,Insufficient Funds,3,14,0,1,0,0.9333333333333333,0
866.02,UPI,Network Error,1,19,4,0,1,0.7916666666666666,1
7563.75,UPI,Technical Error,1,9,3,0,1,0.6923076923076923,1
48756.5,UPI,Network Error,1,2,2,1,1,0.4,0
48281.99,NETBANKING,Insufficient Funds,1,11,4,1,1,0.6875,1
33243.6,CARD,Technical Error,1,13,0,1,1,0.9285714285714286,1
5267.21,CARD,Insufficient Funds,3,10,2,0,0,0.7692307692307693,1
25650.08,WALLET,Technical Error,3,11,1,1,0,0.8461538461538461,1
44735.61,UPI,Timeout,1,2,4,1,1,0.2857142857142857,1
28458.3,NETBANKING,Network Error,2,1,1,1,0,0.3333333333333333,1
48515.7,NETBANKING,Insufficient Funds,1,8,2,1,1,0.7272727272727273,0
6396.53,UPI,Technical Error,1,12,0,0,1,0.9230769230769231,1
39739.82,UPI,Bank Declined,3,5,4,1,0,0.5,0
44085.37,NETBANKING,Network Error,3,14,2,1,0,0.8235294117647058,1
18746.35,WALLET,Network Error,1,6,0,0,1,0.8571428571428571,1
33306.58,CARD,Technical Error,3,20,0,1,0,0.9523809523809523,0
3293.02,UPI,Bank Declined,1,10,2,0,1,0.7692307692307693,1
6771.4,WALLET,Technical Error,1,16,1,0,1,0.8888888888888888,1
13686.76,NETBANKING,Network Error,3,3,2,0,0,0.5,1
9220.69,WALLET,Timeout,2,9,0,0,0,0.9,1
21538.66,CARD,Bank Declined,2,6,3,0,0,0.6,0
41948.29,NETBANKING,Insufficient Funds,2,2,4,1,0,0.2857142857142857,0
17012.83,CARD,Insufficient Funds,1,8,2,0,1,0.7272727272727273,0
46704.86,UPI,Network Error,1,15,5,1,1,0.7142857142857143,1
20117.65,WALLET,Bank Declined,3,7,4,0,0,0.5833333333333334,0
40259.64,NETBANKING,Technical Error,2,4,1,1,0,0.6666666666666666,1
47008.35,UPI,Bank Declined,2,20,2,1,0,0.8695652173913043,1
49477.74,UPI,Timeout,1,19,0,1,1,0.95,1
17652.93,WALLET,Network Error,3,11,0,0,0,0.9166666666666666,0
25271.27,NETBANKING,Network Error,1,5,3,1,1,0.5555555555555556,1
37771.64,CARD,Network Error,2,4,5,1,0,0.4,1
8592.29,CARD,Insufficient Funds,1,7,5,0,1,0.5384615384615384,0
34224.66,WALLET,Bank Declined,2,12,4,1,0,0.7058823529411765,0
10552.99,NETBANKING,Bank Declined,3,4,3,0,0,0.5,0
8104.86,NETBANKING,Bank Declined,3,1,4,0,0,0.16666666666666666,0
9762.8,WALLET,Technical Error,1,15,4,0,1,0.75,1
39368.33,WALLET,Bank Declined,1,4,2,1,1,0.5714285714285714,1
12964.54,NETBANKING,Network Error,1,17,3,0,1,0.8095238095238095,1
4560.17,UPI,Network Error,2,8,5,0,0,0.5714285714285714,0
27062.55,NETBANKING,Timeout,2,10,0,1,0,0.9090909090909091,1
29178.38,NETBANKING,Network Error,1,10,3,1,1,0.7142857142857143,1
16325.1,CARD,Technical Error,3,13,1,0,0,0.8666666666666667,1
40564.45,WALLET,Technical Error,3,14,1,1,0,0.875,1
45122.47,NETBANKING,Bank Declined,1,14,5,1,1,0.7,0
35238.24,WALLET,Technical Error,2,2,2,1,0,0.4,0
47292.53,UPI,Network Error,3,1,0,1,0,0.5,0
6478.25,UPI,Technical Error,3,15,1,0,0,0.8823529411764706,1
10130.54,NETBANKING,Timeout,3,11,2,0,0,0.7857142857142857,1
46031.3,UPI,Timeout,2,7,5,1,0,0.5384615384615384,1
10192.82,CARD,Timeout,1,17,3,0,1,0.8095238095238095,1
40096.21,WALLET,Timeout,3,10,0,1,0,0.9090909090909091,1
1085.58,WALLET,Bank Declined,2,15,3,0,0,0.7894736842105263,1
22875.84,WALLET,Technical Error,1,8,5,0,1,0.5714285714285714,0
20235.82,CARD,Network Error,3,3,3,0,0,0.42857142857142855,0
6699.29,CARD,Insufficient Funds,3,8,1,0,0,0.8,1
2522.11,UPI,Bank Declined,3,11,3,0,0,0.7333333333333333,0
47146.63,NETBANKING,Bank Declined,3,8,5,1,0,0.5714285714285714,0
44292.36,WALLET,Bank Declined,3,8,5,1,0,0.5714285714285714,0
30937.62,WALLET,Timeout,1,15,2,1,1,0.8333333333333334,0
32741.7,UPI,Technical Error,1,2,3,1,1,0.3333333333333333,0
4582.95,CARD,Technical Error,1,7,4,0,1,0.5833333333333334,1
10012.41,WALLET,Bank Declined,1,18,1,0,1,0.9,1
23246.35,NETBANKING,Timeout,2,6,3,0,0,0.6,0
32895.53,UPI,Bank Declined,2,6,1,1,0,0.75,1
30802.32,CARD,Network Error,2,10,0,1,0,0.9090909090909091,1
2619.14,CARD,Bank Declined,3,9,0,0,0,0.9,0
14083.39,CARD,Bank Declined,2,6,4,0,0,0.5454545454545454,0
10908.26,WALLET,Bank Declined,1,18,2,0,1,0.8571428571428571,1
15852.26,CARD,Technical Error,1,13,0,0,1,0.9285714285714286,1
3763.1,NETBANKING,Network Error,1,18,3,0,1,0.8181818181818182,1
37553.49,CARD,Timeout,2,1,4,1,0,0.16666666666666666,0
42264.85,UPI,Bank Declined,3,2,0,1,0,0.6666666666666666,0
48049.64,UPI,Network Error,3,6,3,1,0,0.6,1
29273.04,WALLET,Timeout,1,10,1,1,1,0.8333333333333334,0
45048.6,WALLET,Timeout,2,11,3,1,0,0.7333333333333333,0
13605.05,WALLET,Network Error,3,8,2,0,0,0.7272727272727273,1
7293.37,WALLET,Insufficient Funds,1,7,0,0,1,0.875,1
35768.23,NETBANKING,Insufficient Funds,2,14,3,1,0,0.7777777777777778,1
44396.27,WALLET,Bank Declined,3,6,3,1,0,0.6,1
41652.68,WALLET,Bank Declined,2,8,3,1,0,0.6666666666666666,1
19773.94,CARD,Network Error,3,14,0,0,0,0.9333333333333333,0
49550.15,UPI,Technical Error,1,0,4,1,1,0.0,1
45555.36,NETBANKING,Insufficient Funds,3,4,3,1,0,0.5,0
45187.12,NETBANKING,Timeout,1,18,1,1,1,0.9,1
29931.47,CARD,Technical Error,1,16,0,1,1,0.9411764705882353,1
33744.75,CARD,Technical Error,1,18,4,1,1,0.782608695652174,0
37974.58,WALLET,Insufficient Funds,1,12,2,1,1,0.8,1
12455.19,CARD,Insufficient Funds,3,20,2,0,0,0.8695652173913043,0
40103.42,NETBANKING,Insufficient Funds,3,12,1,1,0,0.8571428571428571,0
8338.74,UPI,Bank Declined,1,18,0,0,1,0.9473684210526315,0
24343.2,CARD,Network Error,2,1,4,0,0,0.16666666666666666,0
26344.54,WALLET,Insufficient Funds,1,12,5,1,1,0.6666666666666666,0
25173.64,WALLET,Insufficient Funds,3,18,1,1,0,0.9,0
39540.7,CARD,Insufficient Funds,1,7,4,1,1,0.5833333333333334,1
36420.1,NETBANKING,Technical Error,2,11,1,1,0,0.8461538461538461,1
5232.43,CARD,Bank Declined,2,4,2,0,0,0.5714285714285714,0
